control;anoxia;24;MV;MD;Per;Cu
0,38700315;0,964335613;0,964883368;0,600389423;0,374820024;0,701537429;0,424415396
0,600249175;0,72926804;0,783074186;1,144884862;0,528315157;0,516668407;1,155999266
1,003948723;1,279816819;1,168620505;0,99;0,930214692;0,654062562;0,747604174
0,522064238;0,427032602;2,184640021;0,867488561;0,78;0,490662433;0,8
0,43723894;0,71465;1,627276316;;0,71;0,71;
;;2,014592;;;;
